Task	Description / Key Activities	Team Involved	Start Date	End Date
EO Sight Camera Mast – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-12-08 00:00:00	2026-12-15 00:00:00
EO Sight Camera Mast – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-12-16 00:00:00	2026-12-23 00:00:00
EO Sight Camera Mast – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-12-24 00:00:00	2026-12-31 00:00:00
EM brake – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2027-01-01 00:00:00	2027-01-08 00:00:00
EM brake – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2027-01-11 00:00:00	2027-01-18 00:00:00
EM brake – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2027-01-19 00:00:00	2027-01-26 00:00:00
Hardware				
Sensor Calibration & Validation	Calibrate LiDAR, IMU, GNSS and validate accuracy.	Hardware Team, QA Team	2026-01-31	2026-02-13
Environmental Stress Testing	Thermal and vibration endurance testing.	Hardware Team, QA Team	2026-02-07	2026-02-20
EMI/EMC Testing	Test electromagnetic interference and compatibility.	Hardware Team, QA Team	2026-02-14	2026-02-27
Integration with Firmware	Validate hardware after firmware integration.	Hardware Team, QA Team	2026-02-21	2026-03-06
Field Integration Testing	System field tests for performance validation.	Hardware Team, QA Team	2026-02-28	2026-03-13
3.QA				
Test Plan Preparation	Create QA plans, test cases and acceptance criteria.	QA Team	2026-02-07	2026-02-20
Functional & Regression Testing	Run functional and regression test suites.	QA Team	2026-02-14	2026-02-27
Bug Triaging & Fix Verification	Triage issues and verify fixes.	QA Team	2026-02-21	2026-03-06
Final QA Sign-off	Prepare documentation and final QA approval.	QA Team	2026-02-28	2026-03-13
4.PMO				
Project Kick-off	Project initiation and resource planning.	PMO Team	2025-11-01	2025-11-14
Weekly Sprint Reviews	Weekly progress reviews, impediment removal, stakeholder updates.	PMO Team	2025-11-01	2026-04-17
Mid-Project Review	Review progress and adjust planning.	PMO Team	2026-01-17	2026-01-30
Final Delivery	Final delivery, documentation and training.	PMO Team	2026-04-04	2026-04-17

1.GCS-1st dec 2025 to 30th July 2026
2.VCU-1st dec 2025 to 30th July 2026
3.QA-1st dec 2025 to 30th July 2026
4.PMO-1st dec 2025 to 30th July 2026

need start date and end date 
1st Dec 2025 to 30th July 2026,
excluding weekends -Saturday,sunday,1st may 2026,26th January 2026 
Final Delivery date:30th July 2026
